n_nodes,repetition,pass,convergence_s,connections_observed,connections_expected,propagation_n_samples,propagation_latency_median_ms,propagation_latency_p95_ms,propagation_latency_p99_ms,apply_events_total,lifecycle_events_total,wall_time_s,fatal_error
2,0,True,0.0025200649979524314,2,2,35,0.100749,0.32361469999999987,0.37229127999999995,40,8,7.748327150999103,
2,1,True,0.005578043004788924,2,2,35,0.086791,0.2274317999999999,0.24804843999999998,40,8,7.68424656100251,
2,2,True,0.004485176003072411,2,2,35,0.097541,0.25916939999999977,0.4989352999999991,40,8,7.769498178000504,
2,3,True,0.008743644997593947,2,2,35,0.114082,0.6441908999999992,1.3429539199999974,40,8,8.47966749900661,
2,4,True,0.0034320170016144402,2,2,35,0.102208,0.2856727999999999,0.43650377999999934,40,8,7.74915379799495,
2,5,True,0.011389459003112279,2,2,35,0.108832,0.3416181999999999,0.41685521999999975,40,8,8.100801640997815,
2,6,True,0.01120066799921915,2,2,35,0.104082,0.30001099999999953,1.193438059999996,40,8,8.391766337997979,
2,7,True,0.0023605239985045046,2,2,35,0.116624,0.3974005999999998,0.5586791199999994,40,8,8.203434028000629,
2,8,True,0.0036760149960173294,2,2,36,0.078916,0.28105025,0.4163178499999999,41,8,7.794890083998325,
2,9,True,0.014216437004506588,2,2,35,0.11379,0.3749763999999999,1.797816879999993,40,8,8.132751104996714,
2,10,True,0.0022961909999139607,2,2,35,0.092833,0.30388919999999997,0.41180005999999947,40,8,7.770719329004351,
2,11,True,0.006286620999162551,2,2,32,0.09006149999999999,0.3888386999999999,0.9212903000000008,36,8,9.11762270199688,
2,12,True,0.010063884998089634,2,2,35,0.101916,0.30367709999999964,0.4266474399999998,40,8,7.6795895640025265,
2,13,True,0.010079260006023105,2,2,35,0.113875,0.26549809999999996,0.28400999999999993,40,8,7.695755192995421,
2,14,True,0.011959745999774896,2,2,33,0.124291,0.23979019999999998,0.38574719999999996,37,8,9.060931619998883,
2,15,True,0.006967449000512715,2,2,35,0.112583,0.38634309999999994,0.39999572,40,8,7.8288910379997105,
2,16,True,0.004414176000864245,2,2,33,0.121207,0.2988971999999999,0.409417,36,8,9.342728062998503,
2,17,True,0.0021953589966869913,2,2,35,0.12054,0.2786317999999999,0.5283410199999989,40,8,7.852886143999058,
2,18,True,0.0023124829967855476,2,2,35,0.106541,0.38695949999999996,0.4070092799999999,40,8,7.758543213996745,
